,buy_mean,buy_pc01,buy_pc02,buy_pc03,buy_pc04,buy_pc05,buy_pc06,sell_mean,sell_pc01,sell_pc02,sell_pc03,sell_pc04,sell_pc05,sell_pc06
wkRSI[2][4],2.4170955234067925e-16,-0.013345138057644092,-0.14407899771599736,-0.08882034410099066,-0.22018655269156773,-0.07624396627422161,0.1754409117952895,-1.819633521606602e-15,-0.037772361234930496,0.14110410569145296,0.09206005134431035,-0.21912642574155392,0.013416293044666336,-0.19089068196080747
wkBB[2][4],-4.500798560826441e-16,0.09991988267909338,-0.01872979018580917,-0.11919803410344003,-0.10218699979583586,-0.12723934836909145,-0.0396533167354992,-9.822800426371922e-16,0.08922310483989249,0.11678604611181556,-0.04816319085326145,-0.06574812249650684,-0.15174124110135956,-0.035163615311141413
wkATR[2][4],1.6336231813370046e-15,0.11121357327381343,0.021237119077569745,-0.12523809889268736,-0.059993954872464304,-0.12002423676040981,-0.1602683379837649,-3.2205903037284996e-16,0.10490665352444144,0.09245748404099037,-0.08611786037055026,-0.024191675848379605,-0.19504768773574793,-0.09001712181877874
wkSMA[3][0],-5.500976018787873e-16,-0.13154180865900755,0.000698378617659691,-0.13515599289148028,0.0886093367664087,-0.048508327347999335,-0.0027713467570703227,3.220590303728499e-17,-0.1265698881197535,-0.014434234883305983,-0.13982106589277915,-0.09421597569433245,-0.016465599012240005,0.02584956287099519
wkRSI[3][0],-1.772814544236637e-14,0.061988395667732975,-0.07597602676833255,0.22255977899194795,-0.02733723685350519,-0.17841284846866373,0.022895316682058676,-2.230661359119952e-14,-0.05056084337882106,0.07436448121354576,-0.24483380732375873,0.01592154534777514,0.14590592700769736,-0.0856042863791112
wkBB[3][0],-1.8336586729292908e-16,0.12601719271418765,0.004680808827467783,0.057143743889271736,-0.005281774418110322,0.057585728972451816,0.13155396437855368,-4.1867673948470494e-16,0.12125915373208362,0.014338248957726243,0.06907390397517835,0.02502072389846704,0.08263037918365322,0.02596791842985975
wkATR[3][0],3.150558992578509e-15,0.13889521172728034,0.036717228866922656,-0.041550156133462954,0.004914838112762039,0.13024107599061538,0.02804152307326343,1.0466918487117623e-15,0.13454897587577958,0.05541522871632595,-0.03234020780759923,0.021951303708577563,0.12983378169790927,-0.0560277115997678
wkSMA[3][1],-3.417272981368224e-15,-0.13928884466177924,0.02004399580717399,-0.07886829902979028,-0.03893991204323427,0.025366777370316056,-0.1275921656026348,2.8663253703183644e-15,-0.1350927853987415,0.008149509763161502,-0.08296979874963366,0.054567243046346026,-0.04586851579084527,-0.10615099384071064
wkRSI[3][1],-4.179908293063815e-14,0.04631404449628124,-0.1738793813738124,0.10264526022471925,0.16338547347248195,-0.09683531382352437,-0.034108302243448886,6.6203259431018965e-15,-0.06369084268329232,0.16486427336419904,-0.1099785773195379,0.17449018603671151,0.03370298119920119,0.002913783170531653
wkBB[3][1],2.1837207832157916e-15,0.12086747646974938,-0.017886405409403887,-0.016844593439738983,0.13026336365262436,-0.049832346429474525,0.2091807274842206,-2.1094866489421672e-15,0.11580616107489164,-0.005738357252081518,-0.0011600886982070684,-0.13515202514052235,0.09955491367773457,0.1570010088560741
wkATR[3][1],-1.1835433252543604e-15,0.13999302025931173,0.03804961369191239,-0.07716638827286836,0.03588710592369212,0.027754731335610766,0.06798525710476866,-1.787427618569317e-15,0.1367500708945087,0.05104603211291142,-0.07059565115653176,-0.03162741385633187,0.060969788726121084,0.02618503369800092
wkSMA[3][2],1.316900319649218e-15,-0.07503376530939881,0.1529724065021545,0.011773341570886789,-0.17869852489589946,-0.0014586841379825612,0.09882428210641075,-1.0627948002304048e-15,-0.10015068484738888,0.13235813526449317,0.02533998707788632,0.1516558068587005,-0.0382091343176542,0.04078046503525468
